cityName,date,elctConsumption
Eastern China,2011/1/1,251503.28
Shanghai,2011/1/1,33764.17
Jiangsu,2011/1/1,91192
Zhejiang,2011/1/1,61964.6
Anhui,2011/1/1,29782.77
Fujian,2011/1/1,33580.74
Eastern China,2011/1/2,272532.4
Shanghai,2011/1/2,35099.2
Jiangsu,2011/1/2,97195
Zhejiang,2011/1/2,70993.6
Anhui,2011/1/2,31248.34
Fujian,2011/1/2,36827.26
Eastern China,2011/1/3,295835
Shanghai,2011/1/3,37797
Jiangsu,2011/1/3,106851
Zhejiang,2011/1/3,78142
Anhui,2011/1/3,32326
Fujian,2011/1/3,39479
Eastern China,2011/1/4,308252.86
Shanghai,2011/1/4,41463.31
Jiangsu,2011/1/4,112681.57
Zhejiang,2011/1/4,79978.3
Anhui,2011/1/4,32662.58
Fujian,2011/1/4,40168.1
Eastern China,2011/1/5,314119.41
Shanghai,2011/1/5,43031.96
Jiangsu,2011/1/5,115169
Zhejiang,2011/1/5,81548.9
Anhui,2011/1/5,33241.33
Fujian,2011/1/5,39823.22
Eastern China,2011/1/6,315570.95
Shanghai,2011/1/6,42925.05
Jiangsu,2011/1/6,115231
Zhejiang,2011/1/6,81857.1
Anhui,2011/1/6,33426.33
Fujian,2011/1/6,40829.47
Eastern China,2011/1/7,315584.58
Shanghai,2011/1/7,43005.77
Jiangsu,2011/1/7,115331
Zhejiang,2011/1/7,82058.9
Anhui,2011/1/7,33495.56
Fujian,2011/1/7,40373.35
Eastern China,2011/1/8,307999.7
Shanghai,2011/1/8,39520.03
Jiangsu,2011/1/8,112782
Zhejiang,2011/1/8,80997
Anhui,2011/1/8,33121.78
Fujian,2011/1/8,40283.89
Eastern China,2011/1/9,301261.87
Shanghai,2011/1/9,38614.27
Jiangsu,2011/1/9,110543
Zhejiang,2011/1/9,78534.1
Anhui,2011/1/9,32917.73
Fujian,2011/1/9,39385.77
Eastern China,2011/1/10,312854
Shanghai,2011/1/10,42535
Jiangsu,2011/1/10,114086
Zhejiang,2011/1/10,80601
Anhui,2011/1/10,33776
Fujian,2011/1/10,40581
Eastern China,2011/1/11,316223.96
Shanghai,2011/1/11,43855.19
Jiangsu,2011/1/11,114612.6
Zhejiang,2011/1/11,81191.1
Anhui,2011/1/11,33905.7
Fujian,2011/1/11,41390.37
Eastern China,2011/1/12,313803.25
Shanghai,2011/1/12,43244.03
Jiangsu,2011/1/12,114474.01
Zhejiang,2011/1/12,80400.6
Anhui,2011/1/12,33652.13
Fujian,2011/1/12,40823.48
Eastern China,2011/1/13,313854.23
Shanghai,2011/1/13,42551.91
Jiangsu,2011/1/13,114797.81
Zhejiang,2011/1/13,80552.9
Anhui,2011/1/13,33489.28
Fujian,2011/1/13,41248.33
Eastern China,2011/1/14,311288.85
Shanghai,2011/1/14,42074.31
Jiangsu,2011/1/14,114628.01
Zhejiang,2011/1/14,80472.2
Anhui,2011/1/14,32907.79
Fujian,2011/1/14,40020.54
Eastern China,2011/1/15,308119.78
Shanghai,2011/1/15,40538.64
Jiangsu,2011/1/15,113633.01
Zhejiang,2011/1/15,79574.3
Anhui,2011/1/15,33164.73
Fujian,2011/1/15,40052.1
Eastern China,2011/1/16,301760.52
Shanghai,2011/1/16,39965.63
Jiangsu,2011/1/16,111382
Zhejiang,2011/1/16,77722.3
Anhui,2011/1/16,32968.25
Fujian,2011/1/16,38530.34
Eastern China,2011/1/17,313406.22
Shanghai,2011/1/17,43817.57
Jiangsu,2011/1/17,113695
Zhejiang,2011/1/17,79670.3
Anhui,2011/1/17,34363.19
Fujian,2011/1/17,40670.16
Eastern China,2011/1/18,314530.64
Shanghai,2011/1/18,44735.94
Jiangsu,2011/1/18,113996
Zhejiang,2011/1/18,79488.5
Anhui,2011/1/18,34891.18
Fujian,2011/1/18,40203.02
Eastern China,2011/1/19,310138.78
Shanghai,2011/1/19,44461.73
Jiangsu,2011/1/19,113266
Zhejiang,2011/1/19,78008.1
Anhui,2011/1/19,34303.51
Fujian,2011/1/19,38891.44
Eastern China,2011/1/20,309676.36
Shanghai,2011/1/20,44429.3
Jiangsu,2011/1/20,113265
