date,carrier,destcity,depdelay,arrdelay,time
2015-01-01,AA,Los Angeles,16,0,236
2015-01-01,AA,San Francisco,5,-24,231
2015-01-01,AA,New York,-3,-21,95
2015-01-01,AA,New York,-3,-15,91
2015-01-01,AA,Washington,-2,-9,73
2015-01-01,AA,Boston,-5,-24,92
2015-01-01,AA,Boston,-4,-15,96
2015-01-01,AA,New York,0,-15,93
2015-01-01,AA,New York,65,53,94
2015-01-01,AA,New York,-4,-11,96
2015-01-01,AA,New York,0,1,94
2015-01-01,AA,New York,-3,-11,91
2015-01-01,AA,New York,-4,-18,91
2015-01-01,AA,New York,13,-9,84
2015-01-01,AA,New York,4,-16,87
2015-01-01,AA,New York,91,87,91
2015-01-01,AA,New York,-7,-16,93
2015-01-01,AA,New York,-5,-21,88
2015-01-01,AA,New York,0,-18,85
2015-01-01,AA,Boston,13,-2,100
2015-01-01,AA,San Francisco,-4,-20,242
2015-01-01,AA,Los Angeles,-2,-4,237
2015-01-01,AA,Minneapolis,176,170,61
2015-01-01,AA,Minneapolis,199,196,65
2015-01-01,AA,Boston,-5,-20,93
2015-01-01,AA,Minneapolis,-4,-5,63
2015-01-01,AA,Los Angeles,-5,-9,244
2015-01-01,AA,Boston,9,0,99
2015-01-01,AA,Los Angeles,-1,-24,228
2015-01-01,AA,Boston,62,61,100
2015-01-01,AA,Los Angeles,1,-26,221
2015-01-01,AA,Boston,-4,-18,94
2015-01-01,AA,Boston,0,-17,94
2015-01-01,AA,Los Angeles,0,-10,239
2015-01-01,AA,Boston,-4,-9,96
2015-01-01,AA,Washington,2,-15,70
2015-01-01,AA,Washington,-4,-9,71
2015-01-01,AA,Dallas,26,24,123
2015-01-01,AA,Dallas,149,141,120
2015-01-01,AA,Los Angeles,0,-13,238
2015-01-01,AA,Los Angeles,-2,-24,228
2015-01-01,AA,Dallas,43,60,129
2015-01-01,AA,Dallas,52,55,128
2015-01-01,AA,Washington,-4,-17,75
2015-01-01,AA,Dallas,15,26,130
2015-01-01,AA,Dallas,161,161,127
2015-01-01,AA,Washington,0,-4,69
2015-01-01,AA,Dallas,0,26,129
2015-01-01,AA,Dallas,80,80,125
2015-01-01,AA,San Francisco,-6,-29,237
2015-01-01,AA,Washington,-6,-8,80
2015-01-01,AA,Dallas,-3,16,132
2015-01-01,AA,Dallas,5,15,137
2015-01-01,AA,Dallas,3,19,135
2015-01-01,AA,Dallas,8,15,136
2015-01-01,AA,San Francisco,1,-12,250
2015-01-01,AA,Washington,-7,-19,71
2015-01-01,AA,San Francisco,12,-23,229
2015-01-01,EV,Washington,16,3,73
2015-01-01,EV,Minneapolis,-11,-21,64
2015-01-01,EV,Washington,-5,-17,77
2015-01-01,MQ,Minneapolis,6,2,60
2015-01-01,MQ,Minneapolis,0,-5,64
2015-01-01,MQ,Minneapolis,18,10,60
2015-01-01,OO,Minneapolis,176,171,64
2015-01-01,OO,Washington,35,15,74
2015-01-01,OO,Minneapolis,-4,-11,65
2015-01-01,OO,Washington,0,-16,75
2015-01-01,OO,Dallas,-3,10,144
2015-01-01,OO,Minneapolis,2,4,65
2015-01-01,OO,Dallas,28,38,138
2015-01-01,UA,Dallas,0,-3,135
2015-01-01,UA,Washington,-2,-14,76
2015-01-01,UA,New York,-4,-29,88
2015-01-01,UA,San Francisco,25,-13,233
2015-01-01,UA,Los Angeles,-4,-5,217
2015-01-01,UA,Los Angeles,7,-27,220
2015-01-01,UA,Boston,4,-21,93
2015-01-01,UA,San Francisco,13,-6,236
2015-01-01,UA,Washington,7,-14,70
2015-01-01,UA,Los Angeles,0,0,242
2015-01-01,UA,New York,-1,-13,93
2015-01-01,UA,New York,11,-10,88
2015-01-01,UA,San Francisco,6,-35,238
2015-01-01,UA,New York,-3,-27,90
2015-01-01,UA,New York,-1,-33,88
2015-01-01,UA,Dallas,86,76,130
2015-01-01,UA,San Francisco,1,-6,237
2015-01-01,UA,San Francisco,8,-12,238
2015-01-01,UA,Los Angeles,-2,-23,229
2015-01-01,UA,Los Angeles,12,7,229
2015-01-01,UA,Los Angeles,0,-31,219
2015-01-01,UA,Boston,16,-7,91
2015-01-01,UA,Los Angeles,5,-13,233
2015-01-01,UA,Washington,15,-3,71
2015-01-01,UA,San Francisco,35,10,244
2015-01-01,UA,San Francisco,3,-26,234
2015-01-01,UA,Los Angeles,1,-27,227
2015-01-01,UA,San Francisco,34,-8,212
2015-01-01,UA,Boston,-2,-25,93
2015-01-01,UA,Washington,10,-7,69
2015-01-01,UA,Boston,55,35,90
2015-01-01,UA,Washington,-7,-38,69
2015-01-01,UA,New York,15,-5,83
2015-01-01,UA,Dallas,492,506,145
2015-01-01,UA,Los Angeles,5,-11,230
2015-01-01,UA,San Francisco,12,14,256
2015-01-01,UA,New York,0,-21,90
2015-01-01,UA,Los Angeles,21,16,236
2015-01-01,UA,San Francisco,12,-12,238
2015-01-01,UA,San Francisco,46,44,256
2015-01-01,UA,Boston,-5,-27,98
2015-01-01,UA,Los Angeles,40,22,239
2015-01-02,AA,Washington,-7,-15,74
2015-01-02,AA,Los Angeles,2,-12,237
2015-01-02,AA,San Francisco,0,-14,250
2015-01-02,AA,New York,10,-9,91
2015-01-02,AA,New York,4,-21,88
2015-01-02,AA,Washington,-3,-1,77
2015-01-02,AA,New York,104,92,92
2015-01-02,AA,New York,-6,-20,90
2015-01-02,AA,New York,16,-1,89
2015-01-02,AA,Boston,0,-17,95
2015-01-02,AA,Boston,1,-14,94
2015-01-02,AA,New York,-6,-26,87
2015-01-02,AA,New York,18,-1,89
2015-01-02,AA,New York,18,3,87
2015-01-02,AA,New York,-5,-11,93
2015-01-02,AA,New York,11,-1,88
2015-01-02,AA,New York,-2,-17,87
2015-01-02,AA,New York,-1,-12,90
2015-01-02,AA,New York,-4,-19,86
2015-01-02,AA,New York,-4,-18,85
2015-01-02,AA,New York,-5,-20,92
2015-01-02,AA,New York,-4,-20,85
2015-01-02,AA,New York,-5,-12,96
2015-01-02,AA,Boston,-3,-16,97
2015-01-02,AA,Washington,-9,-19,76
2015-01-02,AA,San Francisco,-5,-18,249
2015-01-02,AA,Los Angeles,5,9,239
2015-01-02,AA,Los Angeles,-2,4,230
2015-01-02,AA,Los Angeles,-2,1,246
2015-01-02,AA,Minneapolis,-6,-12,61
2015-01-02,AA,Boston,-6,-17,96
2015-01-02,AA,Minneapolis,-8,-9,63
2015-01-02,AA,Boston,-4,-18,97
2015-01-02,AA,Los Angeles,-2,-12,240
2015-01-02,AA,Boston,-6,-20,95
2015-01-02,AA,Los Angeles,6,-8,237
2015-01-02,AA,Boston,-2,-15,97
2015-01-02,AA,Los Angeles,-3,-7,242
2015-01-02,AA,Boston,-5,-21,93
2015-01-02,AA,Boston,16,-1,98
2015-01-02,AA,Los Angeles,-3,-15,238
2015-01-02,AA,Boston,-5,-5,98
2015-01-02,AA,Washington,-3,-21,76
2015-01-02,AA,Dallas,17,17,131
2015-01-02,AA,Washington,-4,-9,78
2015-01-02,AA,Dallas,67,72,134
2015-01-02,AA,Dallas,-6,-1,136
2015-01-02,AA,Dallas,-2,1,130
2015-01-02,AA,Dallas,11,13,128
2015-01-02,AA,Los Angeles,-4,-18,240
2015-01-02,AA,Los Angeles,-2,-13,241
2015-01-02,AA,Dallas,0,36,127
2015-01-02,AA,Dallas,38,42,130
2015-01-02,AA,Washington,17,1,74
2015-01-02,AA,Dallas,56,75,131
2015-01-02,AA,Dallas,2,27,136
2015-01-02,AA,Washington,-8,-10,75
2015-01-02,AA,Dallas,5,24,147
2015-01-02,AA,Dallas,-2,10,133
2015-01-02,AA,San Francisco,-2,-19,249
2015-01-02,AA,Washington,-4,-5,79
2015-01-02,AA,Dallas,-6,-5,129
2015-01-02,AA,Dallas,10,22,131
2015-01-02,AA,Dallas,-9,-4,126
2015-01-02,AA,Dallas,-8,-4,126
2015-01-02,AA,San Francisco,20,16,239
2015-01-02,AA,San Francisco,-2,-17,245
2015-01-02,AA,Washington,-5,-12,74
2015-01-02,AA,San Francisco,-4,6,253
2015-01-02,EV,Minneapolis,-3,17,80
2015-01-02,EV,Washington,39,32,74
2015-01-02,EV,Minneapolis,-7,-10,70
2015-01-02,EV,Minneapolis,-11,-18,69
2015-01-02,MQ,Minneapolis,6,3,63
2015-01-02,MQ,Minneapolis,1,-6,65
2015-01-02,MQ,Minneapolis,5,13,63
2015-01-02,EV,Washington,61,43,72
2015-01-02,OO,Minneapolis,-8,33,77
2015-01-02,OO,Minneapolis,36,30,67
2015-01-02,OO,Minneapolis,-1,17,65
2015-01-02,OO,Washington,1,-5,77
2015-01-02,OO,Minneapolis,67,60,62
2015-01-02,OO,Washington,22,7,75
2015-01-02,OO,Dallas,11,18,145
2015-01-02,OO,Dallas,26,31,135
2015-01-02,OO,Boston,-1,-22,96
2015-01-02,UA,Los Angeles,0,-10,231
2015-01-02,UA,Washington,-4,-23,79
2015-01-02,UA,Boston,3,-10,101
2015-01-02,UA,Dallas,11,17,139
2015-01-02,UA,Washington,-4,-17,71
2015-01-02,UA,Los Angeles,25,6,232
2015-01-02,UA,San Francisco,27,4,240
2015-01-02,UA,Washington,5,-11,75
2015-01-02,UA,Los Angeles,-2,-8,233
2015-01-02,UA,New York,0,-19,93
2015-01-02,UA,New York,10,-1,90
2015-01-02,UA,Washington,18,3,75
2015-01-02,UA,New York,6,-17,89
2015-01-02,UA,San Francisco,55,32,246
2015-01-02,UA,New York,2,-18,93
2015-01-02,UA,New York,42,10,84
2015-01-02,UA,Dallas,-4,1,149
2015-01-02,UA,Dallas,2,11,138
2015-01-02,UA,San Francisco,31,22,241
2015-01-02,UA,San Francisco,-1,2,245
