year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/27,B6,Rochester,New York,-10,5,NO,NO,49,264
2017,2017/1/23,B6,New York,Rochester,-6,8,YES,NO,,264
2017,2017/1/1,B6,Boston,New York,13,8,NO,NO,45,187
2017,2017/1/26,B6,Boston,New York,-5,7,NO,NO,50,187
2017,2017/1/20,B6,New York,Los Angeles,-8,11,NO,NO,327,2475
2017,2017/1/20,B6,Los Angeles,New York,0,9,NO,NO,296,2475
2017,2017/1/7,B6,New York,San Francisco,-1,8,NO,NO,382,2586
2017,2017/1/4,B6,San Francisco,New York,24,7,NO,NO,288,2586
2017,2017/1/2,B6,Boston,New York,-6,8,NO,NO,54,187
2017,2017/1/27,B6,Boston,New York,-3,4,NO,NO,46,187
2017,2017/1/25,B6,New York,Boston,-3,3,NO,NO,39,187
2017,2017/1/26,B6,New York,Los Angeles,-7,5,NO,NO,336,2475
2017,2017/1/25,B6,Los Angeles,New York,6,5,NO,NO,276,2475
2017,2017/1/21,B6,New York,Rochester,-1,3,NO,NO,48,264
2017,2017/1/9,B6,New York,Boston,-5,5,NO,NO,45,187
2017,2017/1/3,B6,New York,Los Angeles,-2,6,NO,NO,372,2475
2017,2017/1/28,B6,New York,Los Angeles,-12,3,NO,NO,306,2475
2017,2017/1/22,B6,Los Angeles,New York,114,10,NO,NO,265,2475
2017,2017/1/10,B6,New York,Houston,55,7,NO,NO,213,1428
2017,2017/1/4,B6,Houston,New York,-3,7,NO,NO,160,1428
2017,2017/1/29,B6,Houston,New York,-8,9,NO,NO,170,1428
2017,2017/1/17,B6,Rochester,New York,-7,10,NO,NO,53,264
2017,2017/1/14,B6,New York,Rochester,-7,6,NO,NO,58,264
2017,2017/1/16,B6,New York,San Francisco,0,8,NO,NO,330,2586
2017,2017/1/12,B6,San Francisco,New York,20,10,NO,NO,276,2586
2017,2017/1/11,B6,Boston,New York,-2,7,NO,NO,44,187
2017,2017/1/12,B6,New York,Los Angeles,0,9,NO,NO,367,2475
2017,2017/1/10,B6,Los Angeles,New York,29,8,NO,NO,278,2475
2017,2017/1/10,B6,Boston,New York,-5,6,NO,NO,47,184
2017,2017/1/12,B6,New York,Boston,-13,10,NO,NO,50,184
2017,2017/1/3,DL,New York,Atlanta,58,6,NO,NO,110,760
2017,2017/1/3,DL,New York,Atlanta,-6,12,NO,NO,114,762
2017,2017/1/3,DL,Boston,New York,-5,5,NO,NO,58,184
2017,2017/1/4,DL,Los Angeles,New York,43,6,NO,NO,276,2475
2017,2017/1/4,DL,New York,Los Angeles,22,26,NO,NO,354,2475
