PassengerId,TicketNumber,Cabin,Pclass,Sex,Embarked,Survived,Age,Age_bucket,TicketFare(pound)
1,A/5 21171,,class3,male,Southampton,dead,22,(20_30],7.25
2,PC 17599,C85,class1,female,Cherbourgherbourg,survival,38,(30_40],71.2833
3,STON/O2. 3101282,,class3,female,Southampton,survival,26,(20_30],7.925
4,113803,C123,class1,female,Southampton,survival,35,(30_40],53.1
5,373450,,class3,male,Southampton,dead,35,(30_40],8.05
6,330877,,class3,male,Queenstown,dead,0,NA,8.4583
7,17463,E46,class1,male,Southampton,dead,54,(50_60],51.8625
8,349909,,class3,male,Southampton,dead,2,(0_10],21.075
9,347742,,class3,female,Southampton,survival,27,(20_30],11.1333
10,237736,,class2,female,Cherbourgherbourg,survival,14,(10_20],30.0708
11,PP 9549,G6,class3,female,Southampton,survival,4,(0_10],16.7
12,113783,C103,class1,female,Southampton,survival,58,(50_60],26.55
13,A/5. 2151,,class3,male,Southampton,dead,20,(10_20],8.05
14,347082,,class3,male,Southampton,dead,39,(30_40],31.275
15,350406,,class3,female,Southampton,dead,14,(10_20],7.8542
16,248706,,class2,female,Southampton,survival,55,(50_60],16
17,382652,,class3,male,Queenstown,dead,2,(0_10],29.125
18,244373,,class2,male,Southampton,survival,0,NA,13
19,345763,,class3,female,Southampton,dead,31,(30_40],18
20,2649,,class3,female,Cherbourgherbourg,survival,0,NA,7.225
21,239865,,class2,male,Southampton,dead,35,(30_40],26
22,248698,D56,class2,male,Southampton,survival,34,(30_40],13
23,330923,,class3,female,Queenstown,survival,15,(10_20],8.0292
24,113788,A6,class1,male,Southampton,survival,28,(20_30],35.5
25,349909,,class3,female,Southampton,dead,8,(0_10],21.075
26,347077,,class3,female,Southampton,survival,38,(30_40],31.3875
27,2631,,class3,male,Cherbourgherbourg,dead,0,NA,7.225
28,19950,C23 C25 C27,class1,male,Southampton,dead,19,(10_20],263
29,330959,,class3,female,Queenstown,survival,0,NA,7.8792
30,349216,,class3,male,Southampton,dead,0,NA,7.8958
31,PC 17601,,class1,male,Cherbourgherbourg,dead,40,(30_40],27.7208
32,PC 17569,B78,class1,female,Cherbourgherbourg,survival,0,NA,146.5208
33,335677,,class3,female,Queenstown,survival,0,NA,7.75
34,C.A. 24579,,class2,male,Southampton,dead,66,NA,10.5
